doc_id,subcorpus,focal_gender,text
H00334,human,male,"‘We do not have any such premises [for sex parties] in Fareham, so I would want to see if it is a breach of licensing or planning,’ he said."
H00350,human,male,"He died in 1898 leaving 4,145 pounds (450,000 pounds today) -- $6,500 ($710,000 today)."
H00274,human,male,"On speaking to him, he learned Childers could have seen the creature responsible for the print."
H00088,human,female,"said she was washing dishes at the time of the incident, SAPA reported."
H00037,human,female,"With a few sessions, she told Brown, she could obtain the shape she had always wanted."
H00137,human,female,"Pharaoh: Even though her wardrobe is now full of weird and wonderful costumes, Mary hasn't broken the bank in her quest to be the best dressed - she has only spent $400 as many of her outfits were homemade ."
H00108,human,female,Scene: A pool of blood is seen in the bedroom; the prosecution is alleging this is where she slit his throat .
H00182,human,female,She said a former colleague later told her the boss had been worried she would poison the food.
H00190,human,male,"be extradited is, I’m afraid, not accepted,’ he added."
H00084,human,female,"'From what I gather, there’s no intention to charge and this was handled inefficiently,' she said."
H00187,human,male,"'He did everything naked,' Phillip said."
H00233,human,male,He has been denied access to any of his computer files since being arrested in April last year - since which time he has been unable to work as a barrister.
H00322,human,male,A three-year-old girl abandoned at a Los Angeles shopping center on Saturday looks set to be reunited with her father after he contacted police following media reports about the girl's disappearance.
H00316,human,male,He will embark on the second stage of his round the world challenge next month when he attempts to swim the 15 miles from Jordan’s Gulf of Aqaba in Asia to the Egyptian coast in Africa.
H00052,human,female,"The sweat-stained sheets of Thomas Eric Duncan, the first person diagnosed with Ebola in the United States, still on her bed, a woman quarantined in a Dallas apartment said Thursday that she desperately wants her family's nightmare to end."
H00338,human,male,Will he pick the wrong targets and invite a South Korean retaliatory strike?
H00305,human,male,He added that the detective's life had been saved by his bullet-proof vest.
H00149,human,female,She succumbed to the horrific disease in December 2010.
H00117,human,female,'I rang her in a terrible state and she arranged to see Archie and ran a series of tests to put my mind at ease.
H00024,human,female,"She said, due to social pressure, young girls feel they must look a certain way - and so may reduce their food intake in a bid to be thin."
H00036,human,female,"Won was imprisoned in 2008 after a court ruled that she posed as an ordinary North Korean defector, then used sex to extract secrets from South Korean military officers."
H00099,human,female,During Monday's editorial meeting -- in which Clinton was seeking the Daily News' endorsement ahead of Pennsylvania's April 22 primary -- she was asked about the apparent discrepancy.
H00296,human,male,"In March, HSBC's CEO Stuart Gulliver had said he would ""fixate on costs"" in 2013."
H00186,human,male,They are also looking into Mr Setzer's past to see if he had been .
H00151,human,female,"She was scheduled to perform in a revival of Stephen Sondheim's ""A Little Night Music"" this year, following a January benefit performance of the show."
H00283,human,male,"Television replays show Suarez moving his head towards Chiellini, who responded by swinging an arm before chasing the referee to apparently insist he had been bitten on his shoulder."
H00041,human,female,She also told how she has been left without bones in her nose after the attack in a hotel room in west London .
H00194,human,male,Sudden death: Drummer Rigby was off-duty and walking near to the barracks when he was attacked and killed .
H00064,human,female,"British PIP implant recipient Rowena Mackintosh, told CNN she was worried about the potential impact on her health."
H00275,human,male,"""By the end of the month, we will have some very clear indications of what their intentions are,"" he said."
H00236,human,male,"""What's horrifying is I have the same first and last name,"" he said."
H00023,human,female,'The . need of the hour is to provide her good counselling so that she can .
H00136,human,female,"‘Steph went on to score two goals in that match and someone said, “That’s why she was playing”.’"
H00310,human,male,"He missed supporting kids and being a part of their development, teaching them to love the game, to deal appropriately with the highs and the lows."
H00177,human,female,When she was alive she was the centre of our family.
H00184,human,male,"And all he would say was, ""Get Away!"
H00050,human,female,"Model Myla Dalbesio has made history by landing a coveted Calvin Klein underwear campaign, even though she is considered plus-size by the fashion industry's standards."
H00195,human,male,"After opening the garage for her, Mr Gaskell said he returned to his other house to continue laying down flooring and was startled to later find his ex-wife in the kitchen."
H00340,human,male,When Powers googled his own name he was stunned to find anonymous posts on Cheaterville.com accusing him of being unfaithful .
H00347,human,male,He was a grafter for .
H00173,human,female,"While her hair is now growing back and she is once again chasing around after her three youngest children, Mrs Bachini is realistic - she still has cancer."
H00111,human,female,"'I don't want you standing where I am today,' she added."
H00080,human,female,"New beginning: Bartiromo's contract with CNBC expires November 24, after which she will move to Fox Business Network ."
H00327,human,male,"""The victim went to lie down and he woke up tied to the bed with his wife tugging his clothes off,"" police said."
H00175,human,female,Ros-Lehtinen also urged the State Department to work incessantly to reunite Hammar with his family and said she's disappointed the agency has not told her what efforts have been made.
H00343,human,male,"censorious than any examiner, school teacher, or parent,’ he said."
H00082,human,female,"She added: ‘E-cigarettes are likely to be gateway devices for nicotine addiction among youth, opening up a whole new market for tobacco.’"
H00004,human,female,"The military had set up a flood relief center, ""but now even that has water coming in it,"" she said."
H00143,human,female,she created a 'Go Go Juice' mixture of Mountain Dew and Red Bull after 15 bags of Pixy Stix - tubes of powdered sugar often known as 'pageant .
H00302,human,male,"the various ads he, Fishburne and even Morgan Freeman have starred in, ."
H00230,human,male,He won’t want to upset her too much.
H00113,human,female,"She is going on about soul searching, hearts broken, crying in the dark, time passing and that kind of baloney."
H00215,human,male,"He suffered a traumatic head injury and a cardiac arrest, and was later pronounced dead by paramedics."
H00346,human,male,"'I'd be put straight into police custody if I went back,' he said."
H00102,human,female,"She wants [the nation to have] a peaceful transition to a democracy and to have the chance for Burma to really build itself [into] a very wealthy and educated nation."""
H00288,human,male,"He worked to live and would spend his time, when not with his family, out with friends at the club or enjoying one of his many hobbies."
H00014,human,female,"Lohan said she was ""kind of numb"" when Sautner sentenced her to 120 days in jail and 480 hours of community service."
H00309,human,male,"After becoming one of the stars of the 2014 World Cup in Brazil, Rodriguez left the French side to join Champions League winners Real Madrid, and he won the Club World Cup over the weekend."
H00259,human,male,"Anthony Castro, Ariel's son, told MailOnline last week that he fears his father targeted Gina, then 14, because of her relationship with Arlene."
H00120,human,female,Shirley Muldowney's nitro-fuel dragster once had a front tire blow in Montreal and she broke both legs when it crashed.
H00112,human,female,Julia emerges in a stunning floor-length white dress as she walks through a crowded party .
H00048,human,female,"Miss Davis and mother Lesley, who says she and Georgia's stepfather Arthur tried to keep her weight under control ."
H00016,human,female,"The unidentified victim claimed Jones, 30, forced himself on her in the hospital's imaging center, where she was sent after receiving treatment in the emergency room."
H00017,human,female,Mr Devlin said: 'She was scared and didn't want to go in. '
H00217,human,male,"Amazingly, Mr Martinez said he can now identify individual sharks and says that they are also accustomed to his interaction."
H00303,human,male,Mr Pritchard was also involved in a bitter public dispute with his wife last year after announcing that he was divorcing her.
H00045,human,female,A 16-year-old African-American asked what she should do if she is pulled over by the police at night.
H00280,human,male,"Stevens . admitted he was a longtime friend of Tiaffay's and worked for him as a . handyman, but denied any knowledge of the killing."
H00053,human,female,"When Kate met with CNN in Chicago, she didn't have her ukulele."
H00072,human,female,She vomited at least twice in his presence.
H00115,human,female,"Gable Tostee was two months ago charged with the murder of Warriena Wright after she allegedly fell from the balcony of his apartment in Gold Coast, Queensland, on August 8."
H00126,human,female,"Her wedding day was blighted by her fixation on the amount of food she was expected to eat, and the couple’s honeymoon the following summer was marked by compulsive exercise."
H00141,human,female,"'You can't be the director of children's services and not take responsibility for what happens to children,' she said."
H00013,human,female,They are not sure when she was abducted from the . neighborhood.
H00058,human,female,"""Holding the nation's top law-enforcement officer in contempt of Congress would be a drastic, disproportionate action on the part of this body,"" she wrote."
H00328,human,male,"He was sentenced to 13 years in prison for the holdup, then told to wait for orders that would specify when and where he was to report to prison."
